지리정보(WKT),지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,공사번호,교량형태,교량종류,교량명,구조물등급,종별,총연장,횡단시설명,왕복차로수,일반제원_설계하중,일반제원_허용통행하중,일반제원_통행제한 높이,교량연장,일반제원_경간수,일반제원_총폭원,일반제원_유효폭원,일반제원_최대경간장,상부구조형식,하부구조형식,상부공_상판보도두께,상부공_차도폭,상부공_보도폭,난간_재질,난간_높이,상부공_난간폭,난간_연장,상부공_이음장치형식,하부공_교각형식,하부공_교각수,하부공_교각기초형식,하부공_교대형식,하부공_교대기초형식,하부공_교대총높이,조명시설_수량,라벨,대장초기화여부
"MULTIPOLYGON (((237827.3901 424148.6501,237823.2301 424147.880100001,237822.6001 424151.0101,237826.8401 424151.960100001,237827.3901 424148.6501)))",교량,1,대전광역시 대덕구 ,36710037,109583,BRG0001000,미분류,철근콘크리트교,,미분류,미분류,4.3,미분류,1,미분류,0,0,4.03,0,3.4,0,0,미분류,미분류,0,0,0,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,,1
"MULTIPOLYGON (((236677.2601 425209.540100001,236676.3701 425206.300100001,236672.9001 425209.450099999,236673.8301 425212.6501,236677.2601 425209.540100001)))",교량,3,대전광역시 유성구 ,36710037,39467,BRG0003000,미분류,철근콘크리트교,,미분류,미분류,4.7,미분류,1,미분류,0,0,3.45,0,3,0,0,미분류,미분류,0,0,4.68,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,,1
"MULTIPOLYGON (((237277.0901 424174.5001,237263.2901 424174.440099999,237281.3801 424568.9301,237288.7501 424729.3901,237294.2701 424849.6701,237302.4201 425028.1701,237302.7001 425042.1401,237316.9501 425041.7501,237316.1901 425027.540100001,237308.0301 424849.040100001,237302.5401 424729.450099999,237295.1501 424568.300100001,237277.0901 424174.5001)))",교량,4,대전광역시 유성구 ,36710037,38831,BRG0004000,미분류,강교,,미분류,미분류,313,철도,0,미분류,0,0,868.06,0,13.7,0,0,미분류,미분류,0,0,0,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,,1
"MULTIPOLYGON (((237364.7301 424433.110099999,237361.4301 424431.280099999,237354.5001 424444.870100001,237357.8199 424446.7501,237364.7301 424433.110099999)))",교량,5,대전광역시 대덕구 ,36710037,116129,BRG0005000,미분류,철근콘크리트교,무명교,미분류,미분류,15.2,하천,1,미분류,0,0,15.59,0,3.7,0,0,미분류,미분류,0,0,4.09,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,무명교,1
"MULTIPOLYGON (((239527.886 424102.852,239531.9147 424110.4769,239553.3084 424111.3561,239551.2801 424105.5118,239527.886 424102.852)))",교량,6,대전광역시 대덕구 ,36710038,109134,BRG0006000,미분류,철근콘크리트교,장동교,미분류,미분류,19.2,하천,1,미분류,0,0,19.99,0,5,0,0,미분류,미분류,0,0,0,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,장동교,1
"MULTIPOLYGON (((238123.0101 424031.0601,238122.1301 424027.0801,238120.2201 424027.5601,238121.0801 424031.4001,238123.0101 424031.0601)))",교량,7,대전광역시 대덕구 ,36710038,6113,BRG0007000,미분류,철근콘크리트교,,미분류,미분류,4.1,미분류,1,미분류,0,0,4.08,0,2,0,0,미분류,미분류,0,0,0,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,,1
"MULTIPOLYGON (((239456.238 424037.066,239451.607 424025.944,239431.018 424029.169,239435.634 424040.060000001,239456.238 424037.066)))",교량,8,대전광역시 대덕구 ,36710038,36391,BRG0008000,미분류,철근콘크리트교,장승교,미분류,미분류,20,하천,2,미분류,0,0,24.84,0,12,0,0,미분류,미분류,0,0,0,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,장승교,1
"MULTIPOLYGON (((240132.931 424064.773,240132.179 424060.095000001,240131.729 424060.189999999,240131.71 424060.021,240130.261 424060.312999999,240131.088 424065.092,240132.931 424064.773)))",교량,9,대전광역시 대덕구 ,36710038,114786,BRG0009000,미분류,철근콘크리트교,,미분류,미분류,4.8,미분류,1,미분류,0,0,5.14,0,1.9,0,0,미분류,미분류,0,0,1.92,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,,1
"MULTIPOLYGON (((240157.976 424051.739,240152.968 424052.333000001,240152.875 424060.271,240157.889 424059.185000001,240157.976 424051.739)))",교량,10,대전광역시 대덕구 ,36710038,106389,BRG0010000,미분류,철근콘크리트교,,미분류,미분류,8,미분류,1,미분류,0,0,7.94,0,5,0,0,미분류,미분류,0,0,0,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,,1
"MULTIPOLYGON (((240018.945 424332.579,240021.892 424330.842,240020.949 424329.101,240017.865 424330.749,240018.945 424332.579)))",교량,11,대전광역시 대덕구 ,36710038,122916,BRG0011000,미분류,철근콘크리트교,,미분류,미분류,2,미분류,1,미분류,0,0,2.11,0,3.5,0,0,미분류,미분류,0,0,3.5,미분류,0,0,0,미분류,미분류,0,미분류,미분류,미분류,0,0,,1
