지리정보(WKT),지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,터널명,총연장,총면적,일반제원_터널높이,폭원_계,폭원_차도,왕복차로수,라벨,대장초기화여부
"MULTIPOLYGON (((233075.466602563 409908.323785327,233307.460102563 409811.430085327,233330.610102563 409799.820085327,233327.250102563 409792.510085327,233298.680102563 409802.410085327,233045.25908852 409908.074936904,232706.720092773 410049.660095215,232674.910095215 410063.854125977,232678.252075195 410073.304077148,232711.780090332 410060.220092773,233075.466602563 409908.323785327)))",터널,1,대전광역시 중구 ,36710085,13780,안영1터널,707.14,8244.85,4.5,13.59,13.59,5,안영1터널,1
"MULTIPOLYGON (((232997.815693164 409908.063196802,233296.630102563 409783.510085327,233324.270102563 409770.170085327,233320.260102563 409762.400085327,233289.800102563 409773.680085327,232967.653302563 409907.961985327,232693.989074707 410023.118103027,232681.937072754 410028.542114258,232685.518127441 410037.74407959,232703.546081543 410029.639099121,232997.815693164 409908.063196802)))",터널,2,대전광역시 중구 ,36710085,13780,안영1터널,691.63,7711.45,4.5,11.08,11.08,2,안영1터널,1
"MULTIPOLYGON (((233895.850102563 408047.110085327,233886.610102563 408044.000085327,233886.022102563 408053.855085327,233885.426102563 408063.848085327,233883.320129395 408070.220092773,233894.130126953 408070.260070801,233894.483102563 408068.891085327,233895.106102563 408058.975085327,233895.850102563 408047.110085327)))",터널,3,대전광역시 중구 ,36710096,33600,샛고개굴길,27,237.2,4.5,9.76,9.76,2,샛고개굴길,1
"MULTIPOLYGON (((233884.798078089 408223.241806802,233876.136321264 408219.629609162,233869.689945798 408327.730160578,233878.610093488 408327.120135625,233878.93009517 408316.760174259,233884.798078089 408223.241806802)))",터널,4,대전광역시 중구 ,36710096,16670,샛고개굴길,109.1,925.8,0,9.5,9.5,2,샛고개굴길,1
"MULTIPOLYGON (((233847.510025925 408323.52010184,233866.983254476 408024.802065831,233854.661759056 408024.754123973,233839.650109713 408320.219933044,233839.210112636 408327.1200011,233847.27005574 408328.610031286,233847.510025925 408323.52010184)))",터널,5,대전광역시 중구 ,36710096,16670,샛고개굴길,102.39,821.31,0,9.26,9.26,2,샛고개굴길,1
"MULTIPOLYGON (((239116.360078263 409013.910012591,239116.040090827 408999.040140952,238500.820035274 409005.209951151,238500.950151738 409020.310131934,239116.360078263 409013.910012591)))",터널,6,대전광역시 중구 ,36710088,13460,구완터널,615.59,9221.93,0,14.61,14.61,2,구완터널,1
"MULTIPOLYGON (((239117.000119509 409051.890114009,239116.669981258 409037.00998552,238501.150161755 409044.620043491,238501.279995106 409058.689978724,239117.000119509 409051.890114009)))",터널,7,대전광역시 중구 ,36710088,13460,구완터널,616.91,8912.78,0,13.09,13.09,2,구완터널,1
"MULTIPOLYGON (((234927.280103597 409509.600135761,234916.020129997 409488.400156295,234840.430017382 409519.750143244,234761.270026136 409549.620064872,234742.730003557 409554.910017375,234689.780151838 409565.38015271,234630.109981247 409571.870096789,234575.530086242 409574.97007018,234336.1700163 409573.799958154,234336.440104184 409604.799972806,234401.720039525 409600.830066623,234563.159980423 409598.260152066,234592.100040765 409597.270123277,234656.899939205 409592.380144574,234702.869967425 409586.180002996,234744.339994645 409576.780065024,234791.329990626 409563.310083259,234927.280103597 409509.600135761)))",터널,8,대전광역시 중구 ,36710086,13460,안영2터널,589.64,1667.3,0,24.85,24.85,1,안영2터널,1
"MULTIPOLYGON (((223697.760102563 413677.690085327,223680.750102563 413605.350085327,223671.480102563 413611.390085327,223687.460102563 413679.990085327,223704.560102563 413755.460085327,223729.630102563 413840.360085327,223757.610102563 413911.100085327,223810.970102563 414015.990085327,223823.940102563 414044.780085327,223837.210102563 414076.550085327,223843.120102563 414103.690085327,223844.420102563 414118.580085327,223844.130102563 414140.110085327,223727.888702563 416021.685685327,223737.318902563 416039.844885327,223854.680102563 414140.140085327,223854.980102563 414118.150085327,223853.580102563 414102.110085327,223847.320102563 414073.360085327,223833.620102563 414040.580085327,223820.500102563 414011.430085327,223767.240102563 413906.750085327,223739.620102563 413836.910085327,223714.780102563 413752.790085327,223697.760102563 413677.690085327)))",터널,9,대전광역시 유성구 ,36710071,15320,계룡1터널,2465.77,25892.76,4.5,12.64,12.64,2,계룡1터널,1
"MULTIPOLYGON (((223732.010102563 413748.300085327,223715.120102563 413673.760085327,223705.120102563 413676.190085327,223722.060102563 413750.900085327,223746.670102563 413834.240085327,223775.450102563 413895.630085327,223836.520102563 414003.300085327,223850.090102563 414033.430085327,223864.520102563 414067.950085327,223871.360102563 414099.400085327,223872.940102563 414117.410085327,223872.630102563 414140.180085327,223753.067502563 416070.171285327,223762.152502563 416087.665285327,223883.100102563 414140.210085327,223883.220102563 414116.990085327,223881.550102563 414097.860085327,223874.370102563 414064.850085327,223859.520102563 414029.340085327,223845.700102563 413998.640085327,223784.590102563 413890.900085327,223756.310102563 413830.580085327,223732.010102563 413748.300085327)))",터널,10,대전광역시 유성구 ,36710071,15310,계룡1터널,2449.62,25151.14,4.5,12.25,12.25,2,계룡1터널,1
