지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),일조(hr),일사(MJ/m2),적설(cm),지면온도(°C)
133,대전,2025/12/25 0:00,-0.3,,1.1,320,91,-1.5,,,,-0.7
133,대전,2025/12/25 1:00,-0.3,,1.2,340,91,-1.5,,,,-0.8
133,대전,2025/12/25 2:00,-0.6,,1.6,320,88,-2.3,,,,-0.9
133,대전,2025/12/25 3:00,-1.2,,0.8,340,89,-2.7,,,,-1.1
133,대전,2025/12/25 4:00,-1.8,,2.1,340,91,-3,,,,-1.3
133,대전,2025/12/25 5:00,-2.2,,1.4,320,93,-3.1,,,,-1.5
133,대전,2025/12/25 6:00,-2.5,,2,340,92,-3.6,,,,-1.8
133,대전,2025/12/25 7:00,-2.4,,0.3,0,89,-3.9,,,,-1.9
133,대전,2025/12/25 8:00,-2.8,,0.3,0,88,-4.5,0,0,,-2
133,대전,2025/12/25 9:00,-0.4,,0.2,0,72,-4.8,0.8,0.44,,-1.2
133,대전,2025/12/25 10:00,1.2,,2.9,320,53,-7.3,1,1.09,,-0.8
133,대전,2025/12/25 11:00,2.5,,2.5,320,50,-6.8,1,1.45,,-0.5
133,대전,2025/12/25 12:00,2.1,0,4.3,320,47,-8,0.6,1.22,,-0.2
133,대전,2025/12/25 13:00,2.1,,5.6,320,42,-9.5,0.3,0.98,,1.4
133,대전,2025/12/25 14:00,1.7,,6.6,320,35,-12.1,0.3,0.89,,2.6
133,대전,2025/12/25 15:00,1,0,5.8,320,31,-14.2,0.7,1.13,,2.1
133,대전,2025/12/25 16:00,0,,4.9,290,37,-12.9,0.5,0.67,,0.3
133,대전,2025/12/25 17:00,-1.2,,4.2,320,40,-13.1,0.3,0.25,,-0.7
133,대전,2025/12/25 18:00,-1.9,,4.6,320,47,-11.7,0,0.02,,-1
133,대전,2025/12/25 19:00,-3,,5.6,320,62,-9.2,,,,-1.5
133,대전,2025/12/25 20:00,-4,,4.8,320,57,-11.2,,,,-1.9
133,대전,2025/12/25 21:00,-4.7,0,4.4,320,57,-11.9,,,,-2.2
133,대전,2025/12/25 22:00,-4.9,,5.7,320,51,-13.5,,,,-2.3
133,대전,2025/12/25 23:00,-5.3,,4.5,320,50,-14.1,,,,-2.7
133,대전,2025/12/26 0:00,-6.1,0,4.5,340,75,-9.8,,,,-2.1
133,대전,2025/12/26 1:00,-7.1,,4,340,71,-11.4,,,0,-2.5
133,대전,2025/12/26 2:00,-7.6,,2.7,320,62,-13.6,,,0,-3.1
133,대전,2025/12/26 3:00,-8.2,0,3,320,62,-14.2,,,0,-3.5
133,대전,2025/12/26 4:00,-8.6,,2.1,320,66,-13.8,,,0,-3.8
133,대전,2025/12/26 5:00,-8.7,,3.5,320,63,-14.4,,,0,-4.2
133,대전,2025/12/26 6:00,-8.9,,2.3,320,54,-16.5,,,0,-4.5
133,대전,2025/12/26 7:00,-9.3,,1.7,320,50,-17.8,,,,-4.9
133,대전,2025/12/26 8:00,-9.5,,1.6,320,51,-17.7,0.1,0.01,,-5
133,대전,2025/12/26 9:00,-7.1,,0.6,20,45,-17,1,0.38,,-3.8
133,대전,2025/12/26 10:00,-5.8,,3.2,340,40,-17.2,1,1,,-2.6
133,대전,2025/12/26 11:00,-4.7,,4,320,28,-20.4,1,1.52,,-1.2
133,대전,2025/12/26 12:00,-4.3,,3.9,320,27,-20.5,1,1.86,,-0.7
133,대전,2025/12/26 13:00,-2.4,,2.8,320,25,-19.8,1,1.98,,-0.1
133,대전,2025/12/26 14:00,-2,,5.7,320,22,-20.9,1,1.87,,-0.2
133,대전,2025/12/26 15:00,-1.8,,2.9,320,24,-19.7,1,1.52,,-0.5
133,대전,2025/12/26 16:00,-1.8,,3.5,320,19,-22.4,1,1.04,,-0.8
133,대전,2025/12/26 17:00,-3.6,,3.1,320,21,-22.8,0.5,0.33,,-1.5
133,대전,2025/12/26 18:00,-4.7,,3,320,25,-21.7,0,0.01,,-2.4
133,대전,2025/12/26 19:00,-5.7,,2.6,340,30,-20.5,,,,-3.1
133,대전,2025/12/26 20:00,-6.1,,2.2,340,36,-18.7,,,,-3.4
133,대전,2025/12/26 21:00,-6.9,,0.9,340,42,-17.6,,,,-3.6
133,대전,2025/12/26 22:00,-6.9,,0.8,320,45,-16.8,,,,-3.9
133,대전,2025/12/26 23:00,-7.3,,1.3,230,48,-16.4,,,,-4
133,대전,2025/12/27 0:00,-7.6,,1.3,340,56,-14.8,,,,-4.1
133,대전,2025/12/27 1:00,-7.8,,1.3,320,57,-14.8,,,,-4.3
133,대전,2025/12/27 2:00,-7.9,,0.4,0,59,-14.5,,,,-4.1
133,대전,2025/12/27 3:00,-8.1,,1.1,320,63,-13.9,,,,-4.4
133,대전,2025/12/27 4:00,-7.9,,1.4,320,64,-13.5,,,,-4.3
133,대전,2025/12/27 5:00,-7.6,,1,270,64,-13.2,,,,-3.7
133,대전,2025/12/27 6:00,-7.1,,0.6,320,61,-13.3,,,,-3.6
133,대전,2025/12/27 7:00,-7.2,,1.2,320,66,-12.4,,,,-3.9
133,대전,2025/12/27 8:00,-7.3,,0.8,340,68,-12.2,0,0.01,,-4.1
133,대전,2025/12/27 9:00,-5.9,,0.9,200,63,-11.8,0.1,0.16,,-3
133,대전,2025/12/27 10:00,-3.2,,0.6,270,53,-11.4,1,0.84,,-1.8
133,대전,2025/12/27 11:00,-1.2,,0.9,110,48,-10.8,0.7,1.2,,-0.9
133,대전,2025/12/27 12:00,-0.3,,1.4,140,47,-10.2,0.3,1.13,,-0.4
133,대전,2025/12/27 13:00,1.3,,0.9,110,49,-8.2,0,0.77,,-0.1
133,대전,2025/12/27 14:00,1.5,,1.8,270,62,-5,0,0.53,,-0.6
133,대전,2025/12/27 15:00,1.9,0,1.2,230,64,-4.2,0,0.4,,-0.6
133,대전,2025/12/27 16:00,1.6,,1.6,200,65,-4.2,0,0.16,,-0.9
133,대전,2025/12/27 17:00,1,,0.3,0,72,-3.4,0,0.03,,-1
133,대전,2025/12/27 18:00,0.8,0,2.5,200,78,-2.6,0,0,,-1
133,대전,2025/12/27 19:00,0.3,,1.6,160,83,-2.2,,,,-1
133,대전,2025/12/27 20:00,0.5,,1.3,140,84,-1.8,,,,-1
